Property_keywords,bedrooms,bathrooms,area,prices,locations,property_types,Latitude,Longitude
Elegant 2Br In Marina 23 Dubai Marina By Deluxe Holiday Homes,1,2,828 sqft,10000,"Al Barsha 1, Al Barsha, Dubai",Apartment,25.1103799,55.1954315
Ready To Move In | Palm Jumeirah View | Luxury,Studio,1,467 sqft,10000,"Millennium Binghatti Residences, Business Bay, Dubai",Apartment,25.1805314,55.2689479
Stylish 3 Bed In Sulafa Tower,Studio,1,542 sqft,10000,"Elite 1 Downtown Residence, Downtown Dubai, Dubai",Apartment,25.1860802,55.2783379
No Commission Modern-Style Brand New 3Br + Maids Room,1,2,743 sqft,10000,"Dubailand, Dubai",Hotel Apartment,25.261869,55.315563
1 Bedroom Golf Vita A Damac Hills,Studio,1,409 sqft,10000,"Jannah Place Dubai Marina, Dubai Marina, Dubai",Apartment,25.0697814,55.13279
Luxurious 2Br In Downtown Dubai - Burj Khalifa View,1,1,424 sqft,10000,"Golf Vita A, Golf Vita, DAMAC Hills, Dubai",Apartment,25.0228736,55.2427461
Stunning 7 Br Signature Luxury Villa For Holiday,1,1,694 sqft,10000,"Reva Residences, Business Bay, Dubai",Apartment,25.187815,55.2833201
Spacious 3Br | Minutes From The Beach,Studio,1,543 sqft,10000,"8 Boulevard Walk, Mohammad Bin Rashid Boulevard, Downtown Dubai, Dubai",Apartment,25.1911669,55.2698645
Stylish Brand New Studio Pool View With  Balcony,Studio,1,430 sqft,10000,"Jannah Place Dubai Marina, Dubai Marina, Dubai",Hotel Apartment,25.0697814,55.13279
Hot Deal/Luxurious One Bedroom Apartment/Fully Furnished/Internet Tv/Balcony,1,2,993 sqft,10000,"Pantheon Boulevard, JVC District 13, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0505375,55.2140195
Sublime 1 Bedroom | Beach Vista | All Bills Included,Studio,1,446 sqft,10000,"Bay Central West, Bay Central, Dubai Marina, Dubai",Apartment,25.0786645,55.1375328
"Livbnb - Lush 3Br + Maids, Sea Views In Bluewater",1,1,"1,700 sqft",10000,"Azizi Aliyah Residence, Al Jaddaf, Dubai",Apartment,25.2130459,55.3193472
Amazing Sea View | Brand New | Stunning Location,1,1,527 sqft,10000,"Azizi Riviera 10, Azizi Riviera, Meydan One, Meydan City, Dubai",Apartment,25.1714683,55.3023454
Furnished | Amazing Burj Khalifa View | High Floor,Studio,1,412 sqft,10000,"Siraj Tower, Arjan, Dubai",Apartment,25.0566381,55.2366018
Furnished | Amazing Burj Khalifa View | High Floor,Studio,1,412 sqft,10000,"Siraj Tower, Arjan, Dubai",Apartment,25.0566381,55.2366018
City Views I Furnished I All Bills Included,Studio,1,645 sqft,10000,"Lake Terrace, JLT Cluster D, Jumeirah Lake Towers (JLT), Dubai",Apartment,25.0701718,55.1411186
No Commission | Lux 2Br Apartment | In Downtown | Near Burj & Dubai Mall,Studio,1,969 sqft,10000,"Jannah Place Dubai Marina, Dubai Marina, Dubai",Apartment,25.0697814,55.13279
"Two Bedroom Apartment In Al Qusais By Luxury Bookings With Free Wifi, Free Dewa, Parking And Cleaning",Studio,1,365 sqft,10000,"Dubai Digital Park, Dubai Silicon Oasis (DSO), Dubai",Hotel Apartment,25.1193484,55.3765215
Modern Studio In Arezzon-01 Jvc With Stunning Views!,1,2,545 sqft,10000,"Bayz by Danube, Business Bay, Dubai",Apartment,25.1808454,55.2792744
Luxury Furnished Apartments In International City,Studio,1,377 sqft,10000,"15 Northside Tower 1, 15 Northside, Business Bay, Dubai",Apartment,25.1866696,55.2865019
Golf Vita 1 Bedroom Damac Hills,1,2,600 sqft,10000,"Barsha Heights (Tecom), Dubai",Apartment,25.096962,55.1775999
Panoramic Canal View | No Commission | All Bills Included,1,1,676 sqft,10000,"Centurion Onyx, Meydan Avenue, Meydan City, Dubai",Apartment,25.164715,55.3053873
Community View | Weekly Cleaning | Bills Included,1,1,800 sqft,10000,"Al Barsha 1, Al Barsha, Dubai",Apartment,25.1103799,55.1954315
"1Br Apartment, Al Waleed Paradise Tower, Jlt",1,1,485 sqft,10000,"Sobha Creek Vistas Reserve, Sobha Hartland, Dubai",Apartment,25.1794843,55.3044375
Pool View | Vibrant 1Br | Lovely Amenities,Studio,1,408 sqft,10000,"DAMAC Maison Prive, Business Bay, Dubai",Apartment,25.1843104,55.2755156
"Two Bedroom Apartment Near Marina Beach Including All Bills, Dewa, Free Parking, Wi-Fi And Cleaning",1,2,942 sqft,10000,"Golden Wood Views, JVT District 3, Jumeirah Village Triangle (JVT), Dubai",Apartment,25.0401649,55.1824056
Maison Privee - Private Pool & Beach Access Villa W/ Cinematic Vws,1,2,"1,123 sqft",10000,"G24 Tower, JVC District 11, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0678676,55.2150508
Monthly Rent 4790    Ii Newly Furnished Studio With Balcony,2,1,"1,937 sqft",10000,"JVC District 12, Jumeirah Village Circle (JVC), Dubai",Villa,25.0545988,55.2128478
"Premium One Bedroom Apartment - Pyramisa Hotel Monthly Rate @ Aed 11,000",1,2,753 sqft,10000,"Deira Twin Towers, Al Rigga, Deira, Dubai",Apartment,25.2668411,55.3082928
"Summer Deal!!! A Classic Studio In The Palace Tower, Dubai Silicon Oasis",1,1,739 sqft,10000,"Al Arta 4, Al Arta, The Greens, Dubai",Apartment,25.0893882,55.1741926
Luxury Arabian Inspired Apt. In Downtown Dubai,1,2,749 sqft,10000,"Marina Crown, Dubai Marina, Dubai",Apartment,25.0898792,55.1482325
Summer Limited Offer | Modern Amenities | Convenient Location,1,1,790 sqft,10000,"Bloom Tower A, Bloom Towers, JVC District 10, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0666071,55.202942
Elevated Stay In 3Br Apartment On Palm Jumeirah With Breathtaking Views!,1,1,"1,700 sqft",10000,"Azizi Aliyah Residence, Al Jaddaf, Dubai",Apartment,25.2130459,55.3193472
Opulent Studio At Blue Wave Tower Dubailand By Deluxe Holiday Homes,Studio,1,467 sqft,10000,"Millennium Binghatti Residences, Business Bay, Dubai",Apartment,25.1805314,55.2689479
Extra Large ! With Balcony ! Luxury Furnished ! St 2 Bld 80,Studio,1,409 sqft,10000,"Jannah Place Dubai Marina, Dubai Marina, Dubai",Hotel Apartment,25.0697814,55.13279
Airy Studio In Studio One Dubai Marina By Deluxe Holiday Homes,Studio,1,446 sqft,10000,"Bay Central West, Bay Central, Dubai Marina, Dubai",Apartment,25.0786645,55.1375328
Al Barsha South/1 Bedroom/Montrose A/Arjan/Fully Furnished/All Inclusive,1,1,694 sqft,10000,"Reva Residences, Business Bay, Dubai",Apartment,25.187815,55.2833201
Monthly Rent 4790    Ii Newly Furnished Studio With Balcony,2,1,"1,937 sqft",10000,"JVC District 12, Jumeirah Village Circle (JVC), Dubai",Villa,25.0545988,55.2128478
Luxury 2Br With Mesmerizing Views Of Burj Khalifa,Studio,1,567 sqft,10000,"AG Tower, Business Bay, Dubai",Apartment,25.1796099,55.269205
Distinguished 4Br Villa And 2 Assistant’S Room At Marinascape Dubai Marina By Deluxe Holiday Homes,1,2,990 sqft,10000,"Park View Residence, JVC District 12, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0555283,55.21876169999999
Full Canal View - Sports City Next To Stadium - Free Amenities,Studio,1,529 sqft,10000,"AG Tower, Business Bay, Dubai",Apartment,25.1796099,55.269205
New Luxury 1Br - Address Beach Residence - Jbr,Studio,1,408 sqft,10000,"Bayz by Danube, Business Bay, Dubai",Apartment,25.1808454,55.2792744
No Kitchen | Luxury Hotel Suite In Difc | Monthly Stay | Utility Bills Included,Studio,1,409 sqft,10000,"Jannah Place Dubai Marina, Dubai Marina, Dubai",Hotel Apartment,25.0697814,55.13279
Elegant Furnished || Great Price || Premium Furniture,Studio,1,452 sqft,10000,"DAMAC Maison Prive, Business Bay, Dubai",Apartment,25.1843104,55.2755156
Trending And Cozy 2Bhk | Fully Furnished | Free Wifi/Dewa,2,3,"1,042 sqft",10000,"Pantheon Elysee I, JVC District 13, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0514786,55.20782029999999
Ms Holiday Homes Exquisite  Bedroom Haven In Down Town: Ideal For High -Profile Clients In Zanzebeel 2,1,2,"1,110 sqft",10000,"Pantheon Boulevard, JVC District 13, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0505375,55.2140195
Studio Apartment In Oudh Mehta,1,1,477 sqft,10000,"Vera Residences, Business Bay, Dubai",Apartment,25.1868571,55.2829892
Monthly Rent 11990 Ii Fully Furnish 2Bhk With Balcony Ii Opposite Circle Mall. . .,1,2,743 sqft,10000,"Dubailand, Dubai",Hotel Apartment,25.261869,55.315563
"Summer Deal!!! A Classic Studio In The Palace Tower, Dubai Silicon Oasis",1,1,739 sqft,10000,"Al Arta 4, Al Arta, The Greens, Dubai",Apartment,25.0893882,55.1741926
Exclusively Designed 1Br W/ Dubai Canal View,Studio,1,502 sqft,10000,"Studio One Tower, Dubai Marina, Dubai",Apartment,25.0691036,55.1289728
Elegant Studio | Simplicity With Luxury,Studio,1,376 sqft,10000,"15 Northside, Business Bay, Dubai",Apartment,25.1866696,55.2865019
"Nice Studio, Immediately Available In Al Quoz 4",1,1,560 sqft,10000,"Sobha Creek Vistas Reserve, Sobha Hartland, Dubai",Apartment,25.1794843,55.3044375
Cozy Studio At The Matrix Sports City By Deluxe Holiday Homes,Studio,1,457 sqft,10000,"Orchid B, Orchid, DAMAC Hills, Dubai",Apartment,25.0132172,55.2540412
Grand Type 1Br | Top Floor | Dubai Canal View!,1,1,780 sqft,10000,"Pantheon Elysee I, JVC District 13, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0514786,55.20782029999999
Bellevue Downtown - Stunning & New 2 Bedroom,Studio,1,550 sqft,10000,"Anwa, Dubai Maritime City, Dubai",Apartment,25.2694933,55.2699508
Cosy 1Br Suite Near Marina Mall - Silverene Tower - Livbnb,1,1,545 sqft,10000,"Bayz by Danube, Business Bay, Dubai",Apartment,25.1808454,55.2792744
Summer Promotion || Fully Furnished Studio Close To Metro,1,1,487 sqft,10000,"Sobha Creek Vistas Tower B, Sobha Creek Vistas, Sobha Hartland, Dubai",Apartment,25.178171,55.31345630000001
Best Winter Flash Sale !! Lavish | Studio Apt | I All  In | Free Cleaning,1,1,500 sqft,10000,"Reva Residences, Business Bay, Dubai",Apartment,25.187815,55.2833201
Ritzy Address Jbr Apt W/ Scenic Balcony View,Studio,1,391 sqft,10000,"Azizi Star, Al Furjan, Dubai",Apartment,25.024767,55.1392004
Brand New Fully Furnished And Serviced|Ready To Move-In,1,2,655 sqft,10000,"Binghatti Mirage, JVC District 10, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0649094,55.20768
Charming 1Br Apartment With Golf View,Studio,1,567 sqft,10000,"AG Tower, Business Bay, Dubai",Apartment,25.1796099,55.269205
No Commission - Deluxe King/Twin,1,2,732 sqft,10000,"Manazil Al Raffa 01, Al Raffa, Bur Dubai, Dubai",Apartment,25.2553908,55.2937406
Studio Apartment Fully Furnished | Near Adcb Metro Station,1,1,800 sqft,10000,"Escan Marina Tower, Dubai Marina, Dubai",Apartment,25.0683427,55.1330463
New Furnished | No Bills | Free Cleaning,Studio,1,538 sqft,10000,"The Neighbourhood, Al Barari, Dubai",Apartment,25.1005993,55.3130082
Authentic 2Br At Damac Heights Dubai Marina By Deluxe Holiday Homes,Studio,1,487 sqft,10000,"Elite 1 Downtown Residence, Downtown Dubai, Dubai",Apartment,25.1860802,55.2783379
Modern Furnished | Best Amenities | Family-Oriented,Studio,1,490 sqft,10000,"Al Thayyal 3, Al Thayyal, The Greens, Dubai",Apartment,25.0908702,55.1736972
Iconic Palm View | Modern Furniture | High-Floor,1,2,651 sqft,10000,"Bloom Towers, JVC District 10, Jumeirah Village Circle (JVC), Dubai",Apartment,25.065054,55.2057745
Super Deluxe Apt. With Burj Khalifa View,Studio,1,565 sqft,10000,"Millennium Binghatti Residences, Business Bay, Dubai",Apartment,25.1805314,55.2689479
Graceful Studio At Blue Wave Tower Dubailand By Deluxe Holiday Homes,Studio,1,830 sqft,10000,"Al Khail Heights, Al Quoz 4, Al Quoz, Dubai",Apartment,25.1583051,55.25459859999999
Peaceful Living | Fully Furnished | Spacious 1 Bhk,1,1,890 sqft,10000,"The Torch, Dubai Marina, Dubai",Apartment,25.087942,55.14750000000001
Newly Furnish Apartment || Ready To Move In International City || Monthly Rent 2990 Aed,Studio,1,506 sqft,10000,"HE Hotel Apartment, JVC District 17, Jumeirah Village Circle (JVC), Dubai",Hotel Apartment,25.0600814,55.2169041
Ritzy Address Jbr Apt W/ Scenic Balcony View,Studio,1,391 sqft,10000,"Azizi Star, Al Furjan, Dubai",Apartment,25.024767,55.1392004
Community View | Weekly Cleaning | Bills Included,1,1,800 sqft,10000,"Al Barsha 1, Al Barsha, Dubai",Apartment,25.1103799,55.1954315
No Commission |  Stylish 2Br Home | In Palm Jumeirah | With Beach View,Studio,1,430 sqft,10000,"Jannah Place Dubai Marina, Dubai Marina, Dubai",Hotel Apartment,25.0697814,55.13279
Brand New Furniture And Building | All Bills Included,Studio,1,524 sqft,10000,"Elite 1 Downtown Residence, Downtown Dubai, Dubai",Apartment,25.1860802,55.2783379
Summer Promotion || Fully Furnished Studio Close To Metro,1,1,487 sqft,10000,"Sobha Creek Vistas Tower B, Sobha Creek Vistas, Sobha Hartland, Dubai",Apartment,25.178171,55.31345630000001
Jbr Gem: Spacious 1Br Apt With Balcony,Studio,1,316 sqft,10000,"Goldcrest Views 2, JLT Cluster J, Jumeirah Lake Towers (JLT), Dubai",Apartment,25.066708,55.141881
High Floor Studio With Two Balconies,2,2,"1,111 sqft",10000,"The Imperial Residence B, The Imperial Residence, JVT District 5, Jumeirah Village Triangle (JVT), Dubai",Apartment,25.0479068,55.1953719
Brand New Building For Family  7 Min From Sharaf Dg Metro .,1,2,"1,149 sqft",10000,"Avani Palm View Dubai Hotel & Suites, Dubai Media City, Dubai",Apartment,25.0980346,55.1570546
Stunning | Burj Khalifa View | Monthly Stays,Studio,1,452 sqft,10000,"Jannah Place Dubai Marina, Dubai Marina, Dubai",Apartment,25.0697814,55.13279
Spacious 3Br | Minutes From The Beach,Studio,1,543 sqft,10000,"8 Boulevard Walk, Mohammad Bin Rashid Boulevard, Downtown Dubai, Dubai",Apartment,25.1911669,55.2698645
Spacious 2Br | High Floor | Winter Special,1,2,492 sqft,10000,"Sobha Creek Vistas Reserve, Sobha Hartland, Dubai",Apartment,25.1794843,55.3044375
Glamorous 5Br Villa With Assistant Room And Private Pool In Frond C Palm Jumeirah By Deluxe Holiday Homes,1,1,800 sqft,10000,"Escan Marina Tower, Dubai Marina, Dubai",Apartment,25.0683427,55.1330463
Best Winter Flash Sale !! Lavish | Studio Apt | I All  In | Free Cleaning,1,1,500 sqft,10000,"Reva Residences, Business Bay, Dubai",Apartment,25.187815,55.2833201
Elegant | Bills Included | Monthly Stays,1,1,937 sqft,10000,"Jumeirah Garden City, Al Satwa, Dubai",Apartment,25.222671,55.275561
Elegantly Colored 2Br With Stunning Sea Views,1,1,890 sqft,10000,"The Torch, Dubai Marina, Dubai",Apartment,25.087942,55.14750000000001
Spacious 1 Bedroom In Midtown,1,1,861 sqft,10000,"Binghatti Mirage, JVC District 10, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0649094,55.20768
No Commission | All Inclusive | Comfy 2Br Apartment With 3Beds | Golf View,1,2,655 sqft,10000,"Binghatti Mirage, JVC District 10, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0649094,55.20768
Free Beach Access At Fairmont The Palm | Golden Mile,Studio,1,450 sqft,10000,"Business Bay, Dubai",Apartment,25.1831647,55.272887
Monthly Stays Available | Bills Included | High Floor,Studio,1,524 sqft,10000,"Elite 1 Downtown Residence, Downtown Dubai, Dubai",Apartment,25.1860802,55.2783379
Phenomenal 2Br With Scenic Sea-View From All Rooms!,1,1,800 sqft,10099,"Al Jaddaf, Dubai",Apartment,25.216757,55.3309395
Specious Apartment / Utilities Included / Holiday Boulevard,Studio,1,417 sqft,10100,"La Residence, JVT District 1, Jumeirah Village Triangle (JVT), Dubai",Apartment,25.0342635,55.1744808
Pristine 2Br With Assistant’S Room At The Address Residences In Jbr By Deluxe Holiday Homes,1,1,650 sqft,10160,"Carson Tower C, Carson - The Drive, DAMAC Hills, Dubai",Apartment,25.0254132,55.24445960000001
"Palm Jumeirah 1Br Apartment: Shorline 20 Bliss""",1,2,700 sqft,10199,"Sadaf, Jumeirah Beach Residence (JBR), Dubai",Apartment,25.0769441,55.1341346
"Palm Jumeirah 1Br Apartment: Shorline 20 Bliss""",1,2,700 sqft,10199,"Sadaf, Jumeirah Beach Residence (JBR), Dubai",Apartment,25.0769441,55.1341346
Spectacular 1Br In Damac Heights By Livbnb,1,1,"1,059 sqft",10200,"Duja Tower, Sheikh Zayed Road, Dubai",Apartment,25.2288653,55.2862823
Greenest Area | Well Maintained Studio Apartment,1,1,"1,059 sqft",10200,"Duja Tower, Sheikh Zayed Road, Dubai",Apartment,25.2288653,55.2862823
Spectacular 1Br At Binghatti Avenue Al Jaddaf By Deluxe Holiday Homes,1,1,674 sqft,10200,"Safi Apartments, Town Square, Dubai",Apartment,25.0112133,55.2890611
Spectacular 1Br In Damac Heights By Livbnb,1,1,"1,059 sqft",10200,"Duja Tower, Sheikh Zayed Road, Dubai",Apartment,25.2288653,55.2862823
Fully Furnished | Hotel Apartment | Fully Serviced,Studio,1,370 sqft,10200,"Goldcrest Views 2, JLT Cluster J, Jumeirah Lake Towers (JLT), Dubai",Apartment,25.066708,55.141881
Fully Furnished | Hotel Apartment | Fully Serviced,Studio,1,370 sqft,10200,"Goldcrest Views 2, JLT Cluster J, Jumeirah Lake Towers (JLT), Dubai",Apartment,25.066708,55.141881
One Bedroom  Apartment Fully Furnished | Near Adcb Metro Station,1,1,541 sqft,10204,"Barsha Heights (Tecom), Dubai",Apartment,25.096962,55.1775999
One Bedroom  Apartment Fully Furnished | Near Adcb Metro Station,1,1,541 sqft,10204,"Barsha Heights (Tecom), Dubai",Apartment,25.096962,55.1775999
One Bedroom  Apartment Fully Furnished | Near Adcb Metro Station,1,1,541 sqft,10204,"Barsha Heights (Tecom), Dubai",Apartment,25.096962,55.1775999
New Spacious Studio In Jvc | Hot Offer,1,1,539 sqft,10204,"Citadines Metro Central Hotel Apartments, Barsha Heights (Tecom), Dubai",Apartment,25.0994248,55.173185
Brand New Studio  Building For Families Just 2 Mints From Metro,2,3,990 sqft,10285,"Barsha Heights (Tecom), Dubai",Apartment,25.096962,55.1775999
Brand New Studio  Building For Families Just 2 Mints From Metro,2,3,990 sqft,10285,"Barsha Heights (Tecom), Dubai",Apartment,25.096962,55.1775999
Cozy 1 Bhk  | Fully Furnished | Bills Inclusive,1,2,690 sqft,10299,"Building 4, Dubai Design District, Dubai",Apartment,25.1884802,55.2971161
Summer Promo | Spacious Family Studio | Free Cleaning | All Bills Inn,Studio,1,485 sqft,10299,"Saleh Bin Lahej Building 341, Al Barsha 1, Al Barsha, Dubai",Apartment,25.1165626,55.1972189
Summer Promo | Spacious Family Studio | Free Cleaning | All Bills Inn,Studio,1,485 sqft,10299,"Saleh Bin Lahej Building 341, Al Barsha 1, Al Barsha, Dubai",Apartment,25.1165626,55.1972189
Perfect For Families | Near Golf Course | Serene,1,2,878 sqft,10299,"Capital Bay Tower B, Capital Bay Towers, Business Bay, Dubai",Apartment,25.1767054,55.27215289999999
Iconic Burj Khalifa View - Fully Furnished - All Bills Included,Studio,1,480 sqft,10300,"The Icon Casa 3, JVC District 12, Jumeirah Village Circle (JVC), Dubai",Apartment,25.057286,55.2149499
Blissful 1Br At Beach Vista Tower 1 Emaar Beachfront Dubai Marina By Deluxe Holiday Homes,1,1,702 sqft,10300,"Pantheon Elysee I, JVC District 13, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0514786,55.20782029999999
Blissful 1Br At Beach Vista Tower 1 Emaar Beachfront Dubai Marina By Deluxe Holiday Homes,1,1,702 sqft,10300,"Pantheon Elysee I, JVC District 13, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0514786,55.20782029999999
Panoramic Full Sea View 2Br,Studio,1,426 sqft,10400,"DAMAC Maison Bay's Edge, Business Bay, Dubai",Apartment,25.1877448,55.2698104
Newly Furnished | Great Location | Amazing View,1,1,984 sqft,10400,"Al Khail Heights, Al Quoz 4, Al Quoz, Dubai",Apartment,25.1583051,55.25459859999999
"Pay Monthly 3990|| Families 1Bhk Apartment & Double Balcony || Nearest To Groceries,Pharmacies,Gym,Bus Stop",1,1,765 sqft,10400,"Montrose Residence B, Montrose Residences, Dubai Science Park, Dubai",Apartment,25.0693188,55.2457947
Newly Furnished | Great Location | Amazing View,1,1,984 sqft,10400,"Al Khail Heights, Al Quoz 4, Al Quoz, Dubai",Apartment,25.1583051,55.25459859999999
Grab The Deal: Furnised 1Bhk Apartment / All Bills Included,1,2,989 sqft,10429,"Sadaf 1, Sadaf, Jumeirah Beach Residence (JBR), Dubai",Apartment,25.080308,55.1379079
