,Property_keywords,bedrooms,bathrooms,area,prices,locations,property_types,Latitude,Longitude
15,Luxury | No Bills | Highly Upgraded,2,3,"1,167 sqft","19,999","Jumeirah Gate Tower 1, The Address Residences Jumeirah Resort and Spa, Jumeirah Beach Residence (JBR), Dubai",Apartment,25.0769441,55.1341346
16,CLASSY FURNISHED 1BHK || SPACIOUS LAYOUT || READY TO MOVE IN,1,1,712 sqft,"4,899","Laya Mansion, JVC District 15, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0559406,55.2011756
17,Most Exclusive Listing! Full Burj Khalifa & Fountains view. New tower!,2,2,"1,022 sqft","18,000","Burj Royale, Downtown Dubai, Dubai",Apartment,25.1916802,55.2801754
18,"Luxury Studio in Pantheon Elysee, Dubai",Studio,1,475 sqft,"3,899","Pantheon Elysee, JVC District 13, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0601975,55.2093505
19,READY TO MOVE IN STUDIO || FULLY FURNISHED || CALL US NOW,Studio,1,409 sqft,"3,499","Laya Mansion, JVC District 15, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0559406,55.2011756
20,Stunning 3BR Sea View Bluewaters B10,3,3,"2,173 sqft","45,000","Apartment Building 10, Bluewaters Residences, Bluewaters Island, Dubai",Apartment,25.0792222,55.11966839999999
21,Brand New | Furnished  Apartment | Burj Khalifa View,2,3,"1,220 sqft","14,950","Downtown Views, Za'abeel 2, Za'abeel, Dubai",Apartment,25.2024286,55.2809328
22,LUXURIOUS STUDIO IN SPORTS CITY| CANAL VIEWS|BILLS INCLUDED,Studio,1,398 sqft,"4,799","Hera Tower, Dubai Sports City, Dubai",Apartment,25.0403885,55.2225976
23,CLASSY FURNISHED STUDIO || READY TO MOVE IN || CALL US NOW,Studio,1,396 sqft,"3,199","Plazzo Heights, JVC District 10, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0650236,55.2085523
24,Summer Offer |Furnished  Lux 1Bedroom Burj View | Downtown,1,2,989 sqft,"7,999","Burj Views Podium, Burj Views, Downtown Dubai, Dubai",Apartment,25.190671,55.281873
25,MOST AMAZINGLY FURNISHED 1BHK || BEAUTIFUL INTERIORS || CONTACT US NOW,1,2,746 sqft,"4,899","Laya Mansion, JVC District 15, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0559406,55.2011756
26,Budget Friendly | Trendy | Brand New Flexi Lease,1,2,595 sqft,"4,950","Summer 2 Block B, Summer, Seasons Community, JVC District 15, Jumeirah Village Circle (JVC), Dubai",Apartment,25.059869,55.2023609
27,CLASSY FURNISHED 1BHK || SPACIOUS || READY TO MOVE IN,1,2,813 sqft,"4,899","Laya Mansion, JVC District 15, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0559406,55.2011756
28,Spacious 2Bed | Modern Furnishing | Free cleaning,2,2,"1,373 sqft","8,999","Sulafa Tower, Dubai Marina, Dubai",Apartment,25.08946,55.14892769999999
29,City View | Weekly Cleaning | Bills Included,1,2,888 sqft,"8,999","1 Residences, Wasl 1, Al Kifaf, Bur Dubai, Dubai",Apartment,25.2327163,55.2954647
30,Stunning Apartment / Best Price / Fully Furnished / Wi-Fi,2,2,970 sqft,"7,000","Pantheon Boulevard, JVC District 13, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0505375,55.2140195
31,AMAZING STUDIO || READY TO MOVE IN || CALL US NOW,Studio,1,462 sqft,"3,799","Plazzo Heights, JVC District 10, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0650236,55.2085523
32,Fully Furnished | Modern Amenities | View of Water,1,2,779 sqft,"7,999","Fairview Residency, Business Bay, Dubai",Apartment,25.1818912,55.2796232
33,Modern Downtown Apartment | Utilities Included,1,2,886 sqft,"8,000","DAMAC Maison Dubai Mall Street, Downtown Dubai, Dubai",Apartment,25.195023,55.2835529
34,Summer Promotion | Duplex Type | Modern Amenities | Family-Oriented,3,3,"1,331 sqft","11,999","Binghatti Avenue, Al Jaddaf, Dubai",Apartment,25.2122955,55.3164952
35,Elegant Furnished Studio with Partial Marina Views,Studio,1,502 sqft,"8,000","Studio One Tower, Dubai Marina, Dubai",Apartment,25.0691036,55.1289728
36,FULLY FURNISHED STUDIO || LUXURY INTERIOR || BIGEST LAYOUT,Studio,1,483 sqft,"4,999","Nicholas Residence, JVC District 12, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0550125,55.2114463
37,FREE Utility Bills I 1 Bedroom Fully Furnished,1,2,752 sqft,"6,800","Arabian Gates, Dubai Silicon Oasis, Dubai",Apartment,25.1279484,55.3862638
38,Premium 1BR APT | BILLS INCLUDED | POOL VIEW | NEAR DUBAI MALL | NEAR METRO,1,1,490 sqft,"9,000","Zada Tower, Business Bay, Dubai",Apartment,25.1844747,55.2617373
39,Summer Special Offer | Best Community | Family-Oriented,2,1,731 sqft,"8,999","Collective 2.0, Dubai Hills Estate, Dubai",Apartment,25.114898,55.24761489999999
40,Luxury | High Floor | Burj Khalifa View,2,2,"1,422 sqft","15,000","The Lofts West, The Lofts, Downtown Dubai, Dubai",Apartment,25.1965476,55.2695474
41,SUMMER DEAL ll LUXURY 1BR ll POOL VIEW,1,2,662 sqft,"6,299","Binghatti Rose, JVC District 15, Jumeirah Village Circle (JVC), Dubai",Apartment,25.057719,55.1992667
42,Best Offer | Creek View | All Bills Included,1,1,805 sqft,"8,000","The Grand, Dubai Creek Harbour, Dubai",Apartment,25.209088,55.3434709
43,Brand New Studio/ Furnished/Kitchen Appliances/Balcony,Studio,1,381 sqft,"4,000","Pantheon Elysee, JVC District 13, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0601975,55.2093505
44,AMAZING 1BHK || COMPLETLY FURNISHED || CALL US NOW,1,2,841 sqft,"4,899","Laya Mansion, JVC District 15, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0559406,55.2011756
45,Summer Promotion | Newly Furnished | Binghatti Gate | Family-Oriented,1,2,646 sqft,"5,999","Binghatti Gate, JVC District 15, Jumeirah Village Circle (JVC), Dubai",Apartment,25.062582,55.199362
46,NO COMMISION ! Free Bills ! Furnished 1BD Apartment | Utility Bills Included,1,1,845 sqft,"7,300","The Signature, Downtown Dubai, Dubai",Apartment,25.1949849,55.2784141
47,Spacious 1-Bedroom Apartment with Sea View at Royal Amwaj  | Direct from Landlord | No Comission,1,2,"1,555 sqft","12,999","Anantara Residences - South, Anantara Residences, Palm Jumeirah, Dubai",Apartment,25.1313252,55.1529958
48,AMAZINGLY FURNISHED STUDIO || READY TO MOVE IN || CALL US NOW,Studio,1,397 sqft,"3,199","Plazzo Heights, JVC District 10, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0650236,55.2085523
49,Stunning 1 Bedroom Apartment / Skyline Marina Views,1,1,795 sqft,"6,690","Bloom Tower A, Bloom Towers, JVC District 10, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0666071,55.202942
50,Pay Monthly 2490  AED ||  With Balcony Fully Furnished II Ready to move,Studio,1,479 sqft,"2,490","S-23, Spain Cluster, International City, Dubai",Apartment,25.1651813,55.4021761
51,Naturally Well-Lit | Family-Oriented | Convenient Location,2,3,"1,502 sqft","24,999","Apartment Building 8, Bluewaters Residences, Bluewaters Island, Dubai",Apartment,25.0792222,55.11966839999999
52,LUXURY APARTMENT | 3 BR + Maid | OPERA GRAND,3,3,"2,048 sqft","24,800","Opera Grand, Downtown Dubai, Dubai",Apartment,25.1937217,55.2712261
53,Fully Furnished | Modern Amenities | Jogging Track,Studio,1,350 sqft,"3,999","Bloom Tower C, Bloom Towers, JVC District 10, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0675496,55.203833
54,Limited Time Offer | Modern Amenities | Best Location,1,1,754 sqft,"5,999","Bloom Tower C, Bloom Towers, JVC District 10, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0675496,55.203833
55,Lovely 1 bedroom | Newly Furnished | Bills Included,1,1,532 sqft,"7,500","15 Northside, Business Bay, Dubai",Apartment,25.1866696,55.2865019
56,MOST AMAZINGLY FURNISHED 1BHK || CALL US NOW,1,2,780 sqft,"4,899","Plazzo Heights, JVC District 10, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0650236,55.2085523
57,Holiday Offer! Palm and Pool View 1BR with Free Beach Access,1,2,949 sqft,"12,000","Azizi Mina, Palm Jumeirah, Dubai",Apartment,25.1269446,55.153537
58,HIGH QUALITY STUDIO || WELL FURNISHED || MOST ELAGANT,Studio,1,444 sqft,"3,299","Laya Mansion, JVC District 15, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0559406,55.2011756
59,Spacious One Bedroom with HUGE Balcony Furnished -Free DEWA & Internet,1,1,824 sqft,"6,400","Binghatti Point, Dubai Silicon Oasis, Dubai",Apartment,25.1216111,55.3729196
60,Designer Furnished | Modern Amenities | Children\'s Pool,1,1,706 sqft,"6,499","Binghatti Avenue, Al Jaddaf, Dubai",Apartment,25.2122955,55.3164952
61,BRAND NEW STUDIO || FULLY FURNISHED || CALL US NOW,Studio,1,412 sqft,"3,199","Laya Mansion, JVC District 15, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0559406,55.2011756
62,LUXURIOUSLY FURNISHED STUDIO || HIGH FLOOR || CALL US NOW,Studio,1,517 sqft,"3,699","G24 Tower, JVC District 11, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0678676,55.2150508
63,FULLY FURNISHED 1BHK || AMAZING INTERIOR || CALL US NOW,1,1,890 sqft,"4,999","Laya Mansion, JVC District 15, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0559406,55.2011756
64,Skyline View | Modern Furnished | Emaar Properties,2,3,"1,329 sqft","44,998","The Address Sky View Tower 1, The Address Residence Sky View, Downtown Dubai, Dubai",Apartment,25.2014188,55.2706273
65,Golf course facing studio | Fully Furnished,Studio,1,409 sqft,"3,999","Eagle Heights, Dubai Sports City, Dubai",Apartment,25.0365874,55.2209596
66,"Hot offer!!!! Sophisticated Studio Apartment - Miraclz Tower, Arjan",Studio,1,390 sqft,"4,998","Miraclz Tower by Danube, Arjan, Dubai",Apartment,25.0583148,55.23891339999999
67,A gem in the middle of Dubai by 2ndhome,1,1,872 sqft,"14,999","Noora, Al Habtoor City, Business Bay, Dubai",Apartment,25.1841785,55.254316
68,Lovely One Bedroom at Sobha Creek Vistas Reserve,1,1,558 sqft,"7,500","Sobha Creek Vistas Tower B, Sobha Creek Vistas, Sobha Hartland, Dubai",Apartment,25.178171,55.31345630000001
69,ALL BILLS INCLUDED! 1BR at Stella Maris in Dubai Marina by Rich Stay,1,1,"1,021 sqft","7,500","Stella Maris, Dubai Marina, Dubai",Apartment,25.0699495,55.13248950000001
70,Special Offer | 2BR  Large Balcony Park View,2,2,"1,377 sqft","13,000","Regent Court, JVC District 14, Jumeirah Village Circle (JVC), Dubai",Apartment,25.053366,55.2061469
71,Modern style 2 bedroom Marina including bills,2,2,"1,169 sqft","9,999","Escan Marina Tower, Dubai Marina, Dubai",Apartment,25.0683427,55.1330463
72,Great Views | Perfect Studio Apartment | Palm Jumeriah | Dubai,Studio,1,524 sqft,"16,000","The Palm Tower, Palm Jumeirah, Dubai",Apartment,25.1137853,55.1399566
73,Unique Modern Apt Stunning Canal View 1BR,1,2,668 sqft,"7,499","Merano Tower, Business Bay, Dubai",Apartment,25.1848281,55.2603221
74,Amazing Deal! All-Inclusive Brand New 2 Bedroom Apartment Featuring a Spacious Balcony,2,2,962 sqft,"6,999","Pantheon Boulevard, JVC District 13, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0505375,55.2140195
75,WELL FURNISHED STUDIO || LAVISH LIVING || AMAZING INTERIOR,Studio,1,402 sqft,"3,299","Laya Mansion, JVC District 15, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0559406,55.2011756
76,6BR Ultra Lux Villa w Pool in Palm Jumeirah,6,6,"17,115 sqft","120,000","Garden Homes Frond O, Garden Homes Palm Jumeirah, Palm Jumeirah, Dubai",Villa,25.1116577,55.1304098
77,CLASSY FURNISHED STUDIO || CALL US NOW,Studio,1,410 sqft,"3,199","Laya Mansion, JVC District 15, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0559406,55.2011756
78,CHEAPEST DEAL II NEWLY FURNISHED STUDIO IN ENGLAND CLUSTER,Studio,1,484 sqft,"2,490","X-02, England Cluster, International City, Dubai",Apartment,25.1736832,55.4049437
79,POOL VIEW || LUXURIOUSLY FURNISHED STUDIO || CONTACT US NOW,Studio,1,456 sqft,"3,299","Plazzo Heights, JVC District 10, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0650236,55.2085523
80,Summer Promotion | Fully Furnished | Swimming Pool | Family-Oriented,1,2,932 sqft,"6,999","Elite Business Bay Residence, Business Bay, Dubai",Apartment,25.1799797,55.2659768
81,READY TO MOVE || FULLY FURNISHED 1BHK || CALL US NOW,1,2,793 sqft,"4,899","Plazzo Heights, JVC District 10, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0650236,55.2085523
82,STUNNING 1BHK || READY TO MOVE IN || CALL US NOW,1,2,916 sqft,"4,899","Plazzo Heights, JVC District 10, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0650236,55.2085523
83,Breathtaking Sea View Unit  l Blue Waters | Utilities Included,2,3,"1,448 sqft","25,000","Apartment Building 5, Bluewaters Residences, Bluewaters Island, Dubai",Apartment,25.0792222,55.11966839999999
84,Amazing 1 BR / Fully Furnished / Balcony / Wi-Fi,1,2,992 sqft,"5,999","Pantheon Boulevard, JVC District 13, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0505375,55.2140195
85,Fully Furnished | Modern Amenities | Perfect Location,2,2,"1,343 sqft","8,499","Elite Business Bay Residence, Business Bay, Dubai",Apartment,25.1799797,55.2659768
86,Resort-style Living & Marina Views at Address JBR,2,2,"1,152 sqft","18,000","Jumeirah Gate Tower 1, The Address Residences Jumeirah Resort and Spa, Jumeirah Beach Residence (JBR), Dubai",Apartment,25.0769441,55.1341346
87,High Floor | Top Notch Amenities | Modern Furnished,1,1,666 sqft,"5,998","Bloom Towers, JVC District 10, Jumeirah Village Circle (JVC), Dubai",Apartment,25.065054,55.2057745
88,Sublime 3 bedroom | with Dubai Eye View | Beach Access,3,4,"2,406 sqft","27,000","Al Bateen Towers, The Walk, Jumeirah Beach Residence (JBR), Dubai",Apartment,25.072367,55.127675
89,Luxury Downtown Dubai Oasis ~ Burj & Fountain Views,2,3,"1,646 sqft","55,000","Opera Grand, Downtown Dubai, Dubai",Apartment,25.1937217,55.2712261
90,Brand New | High Floor | Fountain View | All Inclusive,2,3,"1,676 sqft","22,199","Opera Grand, Downtown Dubai, Dubai",Apartment,25.1937217,55.2712261
91,ENCHANTING 2 BR APT | PETS ALLOWED | HIGH FLOOR | BILLS INCLUDED | NEAR DUBAI MALL,2,3,"1,394 sqft","12,500","Tower D, DAMAC Towers by Paramount Hotels and Resorts, Business Bay, Dubai",Apartment,25.1831647,55.272887
92,Upgraded 2 Bedrooms | Mall Street | All Bills Included,2,3,"1,372 sqft","12,500","The Signature, Downtown Dubai, Dubai",Apartment,25.1949849,55.2784141
93,Bright Studio | Newly Furnished | All Bills Included,Studio,1,380 sqft,"5,950","15 Northside, Business Bay, Dubai",Apartment,25.1866696,55.2865019
94,HOT OFFER FOR  IMMEDIATE MOVE IN  !! BRILLIANT 1BHK IN DUBAI MARINA,1,2,837 sqft,"6,499","Marina Pinnacle, Dubai Marina, Dubai",Apartment,25.0886968,55.1481894
95,Ravishing 1 Bedroom | Downtown Views II | Fully Furnished,1,1,737 sqft,"10,000","Downtown Views, Za'abeel 2, Za'abeel, Dubai",Apartment,25.2024286,55.2809328
96,"Sun, Sand, Sea View & Dubai Luxury at Address JBR",4,5,"2,555 sqft","70,000","Jumeirah Gate Tower 1, The Address Residences Jumeirah Resort and Spa, Jumeirah Beach Residence (JBR), Dubai",Apartment,25.0769441,55.1341346
97,Amazing Building Facilies! Stylish 1BR | Bayz By Danube,1,1,545 sqft,"5,800","Bayz by Danube, Business Bay, Dubai",Apartment,25.1808454,55.2792744
98,Modern Furnished | Convenient Location | Family-Oriented,1,1,693 sqft,"4,999","Hayat Boulevard, Town Square, Dubai",Apartment,25.004806,55.29637469999999
99,Studio Apartment in DAMAC Maison Prive l Canal View,Studio,1,401 sqft,"7,499","DAMAC Maison Prive, Business Bay, Dubai",Apartment,25.1843104,55.2755156
100,No commission | All Bills included | Amazing Marina View,1,1,736 sqft,"6,999","Iris Blue, Dubai Marina, Dubai",Apartment,25.0851904,55.14474019999999
101,LUXURY VACATION HOME IN DAMAC HILLS | AVAILABLE IMMEDIATELY | BILLS INCLUDED |  PETS ALLOWED | HIGH FLOOR | GOLF VIEW,1,2,767 sqft,"8,300","Carson Tower C, Carson - The Drive, DAMAC Hills, Dubai",Apartment,25.0254132,55.24445960000001
102,Stunning Full Sea View High Floor Two-Bedroom Apartment,2,3,"1,376 sqft","12,000","Shams 1, Shams, Jumeirah Beach Residence (JBR), Dubai",Apartment,25.0769441,55.1341346
103,Brand New | Exclusive Luxury Studio in Amara Residences,Studio,1,490 sqft,"4,299","Amara Residences, JVC District 15, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0566751,55.1973834
104,Upgraded Interior | 3 Bedrooms | All Bills Included,3,4,"2,439 sqft","22,000","Marina Residences 4, Marina Residences, Palm Jumeirah, Dubai",Apartment,25.116092,55.137411
105,Summer Offer | Modern Amenities | Family-Oriented,Studio,1,393 sqft,"3,999","Bloom Towers, JVC District 10, Jumeirah Village Circle (JVC), Dubai",Apartment,25.065054,55.2057745
106,Stylish Sea View High Floor Two-Bedroom Apartment,2,3,"1,263 sqft","11,800","Shams 4, Shams, Jumeirah Beach Residence (JBR), Dubai",Apartment,25.0728716,55.129994
107,FREE TICKETS SUMMER SALE: Splendor 2BR in Address JBR- Private beach access | NO COMMISSION,2,2,"1,167 sqft","24,000","Jumeirah Gate Tower 1, The Address Residences Jumeirah Resort and Spa, Jumeirah Beach Residence (JBR), Dubai",Apartment,25.0769441,55.1341346
108,HUGE & SPACIOUS 1BR | FURNISHED | PRIME LOCATION,1,2,741 sqft,"4,798","Silicon Gates 1, Silicon Gates, Dubai Silicon Oasis, Dubai",Apartment,25.1169625,55.3911833
109,Newly Renovated | Modern Amenities | Family-Oriented,Studio,1,352 sqft,"4,999","Farhad Azizi Residence, Dubai Healthcare City Phase 2, Al Jaddaf, Dubai",Apartment,25.2090203,55.315404
110,FREE TICKETS SUMMER SALE: Stylish 1BR in Creek Harbour with Sand Beach,1,1,714 sqft,"8,000","Breeze 3, Breeze, Dubai Creek Harbour, Dubai",Apartment,25.1945448,55.3641298
111,Fully Furnished l Easy Access to many famous attractions l All bills included & NO COMMISSION,2,3,924 sqft,"7,500","Kensington Manor, JVC District 13, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0479893,55.2074353
112,Summer Promotion | Brand New |Modern Studio | Community View | Damac Hills,Studio,1,405 sqft,"4,499","Carson Tower C, Carson - The Drive, DAMAC Hills, Dubai",Apartment,25.0254132,55.24445960000001
113,Upgraded 3BR+Maids | Prime Location I Ain Dubai View,3,4,"2,172 sqft","24,000","Al Fattan Marine Tower, Al Fattan Marine Towers, Jumeirah Beach Residence (JBR), Dubai",Apartment,25.0793688,55.1366779
114,FULLY FURNISHED 1BHK || SPACIOUS LAYOUT || CALL US NOW,1,1,762 sqft,"4,899","Laya Mansion, JVC District 15, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0559406,55.2011756
115,Burj Bliss: Modern Living & Scenic Balcony,2,3,"1,715 sqft","30,000","Opera Grand, Downtown Dubai, Dubai",Apartment,25.1937217,55.2712261
116,Stylish Furnished in the heart of Downtown / Canal View / close to Burj Khalifa,1,2,830 sqft,"8,000","Millennium Binghatti Residences, Business Bay, Dubai",Apartment,25.1805314,55.2689479
117,Burj View | Weekly Cleaning | Bills Included,Studio,1,494 sqft,"6,950","Elite Downtown Residence, Downtown Dubai, Dubai",Apartment,25.1860802,55.2783379
118,Stunning One Bedroom in Address JBR,1,2,625 sqft,"11,999","Jumeirah Gate Tower 1, The Address Residences Jumeirah Resort and Spa, Jumeirah Beach Residence (JBR), Dubai",Apartment,25.0769441,55.1341346
119,All Bills Included | 2 BR in Arjan | Carson A,2,2,"1,331 sqft","8,900","Carson Tower A, Carson - The Drive, DAMAC Hills, Dubai",Apartment,25.0254132,55.24445960000001
120,1BDR Apartment with Dubai Marina view I Close to Metro,1,1,754 sqft,"8,000","Marina Diamond 4, Marina Diamonds, Dubai Marina, Dubai",Apartment,25.0802904,55.1453144
121,Dubai Creek View | All Bills Included | Fully Furnished,3,4,"1,545 sqft","15,500","Harbour Views 1, Harbour Views, Dubai Creek Harbour, Dubai",Apartment,25.2053316,55.3447823
122,Luxury Urban Living with Unbeatable Summer Rate,3,5,"2,325 sqft","28,000","Stella Maris, Dubai Marina, Dubai",Apartment,25.0699495,55.13248950000001
123,LAVISH 3 BEDROOM IN MUDON|BILLS INCLUDED|MAIDS ROOM,3,4,"1,973 sqft","14,999","Mudon Views, Mudon, Dubai",Apartment,25.0235058,55.2650941
124,PRIME LOCATION! Modern 2BR in Downtown Dubai | Burj Al Nujoom,2,2,"1,378 sqft","9,700","Burj Al Nujoom, Downtown Dubai, Dubai",Apartment,25.1910236,55.2822663
125,La Mer Beach Luxurious Spacious Apartment,2,4,"1,500 sqft","13,500","AL Telal 12 Building, Jumeirah 1, Jumeirah, Dubai",Apartment,25.2274535,55.2612202
126,Inviting Studio | Near UAE Exchange Metro Station,Studio,1,340 sqft,"4,000","Azizi Aura, Downtown Jebel Ali, Jebel Ali, Dubai",Apartment,24.980273,55.0924705
127,NEW UNIT! Luxurious 1 BR | Fairmont South,1,1,"1,290 sqft","15,000","The Fairmont Palm Residence South, The Fairmont Palm Residences, Palm Jumeirah, Dubai",Apartment,25.1099215,55.1408733
128,Marina Views | Fully Furnished | Spacious Layout,2,2,"1,278 sqft","12,650","Marina Park, Dubai Marina, Dubai",Apartment,25.0687372,55.13348790000001
129,City View | High Floor | Boulevard,1,1,958 sqft,"9,800","The Lofts West, The Lofts, Downtown Dubai, Dubai",Apartment,25.1965476,55.2695474
130,Luxurious 2BR Apartment in the heart of Dubai Downtown,2,3,"1,717 sqft","21,499","Opera Grand, Downtown Dubai, Dubai",Apartment,25.1937217,55.2712261
131,AMAZINGLY FURNISHED 1BHK || LARGE LAYOUT || CALL US NOW,1,2,"1,049 sqft","3,999","GMM Tower 1, JVC District 12, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0537015,55.2118757
132,High Rise 2BR | Epic Marina Sea View,2,2,"1,304 sqft","12,700","LIV Residence, Dubai Marina, Dubai",Apartment,25.0811001,55.14067730000001
133,Brand New | Fully Furnished | Modern Community,Studio,1,370 sqft,"3,999","Living Garden II, JVC District 14, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0601975,55.2093505
134,*NO COMMISSION* Vibrant and Contemporary 1 BR in Furjan. Available from 13th July 2023,1,2,832 sqft,"5,999","Farishta Azizi, Al Furjan, Dubai",Apartment,25.0241966,55.139183
135,AMAZING VIEW! Luxury 1 BR in Bluewaters Residence 5,1,1,"1,133 sqft","15,500","Apartment Building 5, Bluewaters Residences, Bluewaters Island, Dubai",Apartment,25.0792222,55.11966839999999
136,Elegantly Decorated 1 Bedroom Apartment| Brand New | Skyline View,1,1,794 sqft,"6,690","Bloom Towers, JVC District 10, Jumeirah Village Circle (JVC), Dubai",Apartment,25.065054,55.2057745
137,BRIGHT AND COZY | FULLY FURNISHED | BILLS INCLUDED,1,2,743 sqft,"15,000","One Park Avenue, Sobha Hartland, Dubai",Apartment,25.1784466,55.3086196
138,Exquisite Fully Furnished l View of Skyline and Burj Khalifa l Bills all Included!,1,2,706 sqft,"8,000","Binghatti Avenue, Al Jaddaf, Dubai",Apartment,25.2122955,55.3164952
139,Huge Apartment | 2 balconies | NO COMMISSION | Utility Bills Included,1,1,"1,004 sqft","5,500","European, Canal Residence West, Dubai Sports City, Dubai",Apartment,25.0381534,55.2210473
140,Beach Access | Spacious | Skyline View,2,2,"1,381 sqft","12,000","Sunrise Bay Tower 1, Sunrise Bay, Emaar Beachfront, Dubai Harbour, Dubai",Apartment,25.0967614,55.1394516
141,IMMEDIATE  MOVE- IN ! EXQUISITE LARGE FULLY FURNISHED 1BR WITH POOL VIEW IN JVC!,1,1,653 sqft,"5,999","Diamond Views III, JVC District 11, Jumeirah Village Circle (JVC), Dubai",Apartment,25.0622902,55.2178078
142,Luxury Apartment in Bloom Towers JVC | Utilities Included,1,1,668 sqft,"6,800","Bloom Towers, JVC District 10, Jumeirah Village Circle (JVC), Dubai",Apartment,25.065054,55.2057745
